ID	NUMBER	CHINESE_GLOSS	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	NOTE
58	58	汽油	29	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	petrol	-
59	59	石头	30	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	stone	-
60	60	泥	30	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	mud // earth // clay	-
61	61	土	31	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	soil // earth	-
62	62	灰尘	31	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	dust	-
63	63	老虎	32	nouns	animals	四、动物	名 詞	tiger	-
64	64	獅子	32	nouns	animals	四、动物	名 詞	lion	狮子
65	65	豹子	33	nouns	animals	四、动物	名 詞	leopard // panther	-
66	66	狼	33	nouns	animals	四、动物	名 詞	wolf	-
67	67	鹿	34	nouns	animals	四、动物	名 詞	dee	-
68	68	猴子	34	nouns	animals	四、动物	名 詞	monkey	-
69	69	兎子	35	nouns	animals	四、动物	名 詞	rabbit // hare	兔子
70	70	老鼠	35	nouns	animals	四、动物	名 詞	rat // mouse	-
71	71	老鹰	36	nouns	animals	四、动物	名 詞	hawk // eagle	-
72	72	猫头鹰	36	nouns	animals	四、动物	名 詞	owl	-
73	73	雁	37	nouns	animals	四、动物	名 詞	wild goose	-
74	74	燕子	37	nouns	animals	四、动物	名 詞	swallow	-
75	75	烏鴉	38	nouns	animals	四、动物	名 詞	crow	-
76	76	喜鹊	38	nouns	animals	四、动物	名 詞	magpie	-
77	77	麻雀	39	nouns	animals	四、动物	名 詞	sparrow	-
78	78	鸽子	39	nouns	animals	四、动物	名 詞	pigeon // dove	-
79	79	八哥	40	nouns	animals	四、动物	名 詞	crested myna	-
80	80	牲口	40	nouns	animals	四、动物	名 詞	cattle	-
81	81	公牛	41	nouns	animals	四、动物	名 詞	bull	-
82	82	母牛	41	nouns	animals	四、动物	名 詞	cow	-
83	83	公馬	42	nouns	animals	四、动物	名 詞	stallion	-
84	84	母馬	42	nouns	animals	四、动物	名 詞	mare	-
85	85	公猪	43	nouns	animals	四、动物	名 詞	male pig	-
86	86	母猪	43	nouns	animals	四、动物	名 詞	sow	-
87	87	公狗	44	nouns	animals	四、动物	名 詞	male dog	-
88	88	母狗	44	nouns	animals	四、动物	名 詞	female dog	-
89	89	驴	45	nouns	animals	四、动物	名 詞	donkey // ass	-
90	90	騾子	45	nouns	animals	四、动物	名 詞	mule	-
91	91	羊	46	nouns	animals	四、动物	名 詞	sheep // goat	-
92	92	猫	46	nouns	animals	四、动物	名 詞	cat	-
93	93	公鸡	47	nouns	animals	四、动物	名 詞	rooster // cock	-
94	94	閹鸡	47	nouns	animals	四、动物	名 詞	capon	-
95	95	母鸡	48	nouns	animals	四、动物	名 詞	chicken // hen	-
96	96	小鸡儿	48	nouns	animals	四、动物	名 詞	birdy / small bird	-
97	97	鴨子	49	nouns	animals	四、动物	名 詞	duck	-
98	98	鵝	49	nouns	animals	四、动物	名 詞	goose	-
99	99	鲤魚	50	nouns	animals	四、动物	名 詞	carp	-
100	100	鯽魚	50	nouns	animals	四、动物	名 詞	crucian carp	-
101	101	黃花魚	51	nouns	animals	四、动物	名 詞	yellow croaker	-
102	102	螃蟹	51	nouns	animals	四、动物	名 詞	crab	-
103	103	虾	52	nouns	animals	四、动物	名 詞	shrimp // prawn	-
104	104	蚌	52	nouns	animals	四、动物	名 詞	oysters, mussels; mother-of-pearl	-
105	105	靑蛙	53	nouns	animals	四、动物	名 詞	frog	青蛙
106	106	癩蛤蟆	53	nouns	animals	四、动物	名 詞	toad	-
107	107	烏龟	54	nouns	animals	四、动物	名 詞	turtle	乌龟
108	108	蝸牛	54	nouns	animals	四、动物	名 詞	snail	-
109	109	蚯蚓	55	nouns	animals	四、动物	名 詞	earthworm	-
110	110	蚕	55	nouns	animals	四、动物	名 詞	silkworms	-
111	111	蜜蜂	56	nouns	animals	四、动物	名 詞	bee	-
112	112	蝴蝶	56	nouns	animals	四、动物	名 詞	butterfly	-
113	113	蜻蜓	57	nouns	animals	四、动物	名 詞	dragonfly	-
114	114	蝉	57	nouns	animals	四、动物	名 詞	cicada; continuous	-
115	115	螢火虫	58	nouns	animals	四、动物	名 詞	firefly	萤火虫
116	116	蟋蟀	58	nouns	animals	四、动物	名 詞	cricket	-
117	117	螞蚁	59	nouns	animals	四、动物	名 詞	ant	-
118	118	蒼蝇	59	nouns	animals	四、动物	名 詞	housefly	-
119	119	蚊子	60	nouns	animals	四、动物	名 詞	mosquito	-
120	120	臭虫	60	nouns	animals	四、动物	名 詞	bedbug	-
121	121	蜘蛛	61	nouns	animals	四、动物	名 詞	spider	-
122	122	蜈蚣	61	nouns	animals	四、动物	名 詞	centipede	-
123	123	蛇	62	nouns	animals	四、动物	名 詞	snake	-
124	124	壁虎	62	nouns	animals	四、动物	名 詞	gecko	-
125	125	翅膀	63	nouns	animals	四、动物	名 詞	wing	-
126	126	蹄子	63	nouns	animals	四、动物	名 詞	hoof // leg of pork	-
127	127	爪子	64	nouns	animals	四、动物	名 詞	claw	-
128	128	尾巴	64	nouns	animals	四、动物	名 詞	tail	-
129	129	鳞	65	nouns	animals	四、动物	名 詞	fish scales	-
130	130	梅花	65	nouns	plants	五、植物	名 詞	plum blossom	-
131	131	杏花	66	nouns	plants	五、植物	名 詞	-	?
132	132	桃花	66	nouns	plants	五、植物	名 詞	-	?
133	133	荷花	67	nouns	plants	五、植物	名 詞	lotus	-
134	134	桂花	67	nouns	plants	五、植物	名 詞	-	?
135	135	艾	68	nouns	plants	五、植物	名 詞	artemisia // mugwort	-
136	136	棉花	68	nouns	plants	五、植物	名 詞	cotton // raw cotton	-
137	137	稻子	69	nouns	plants	五、植物	名 詞	rice (daozi)	稻子
138	138	大米	70	nouns	plants	五、植物	名 詞	rice (dami)	-
139	139	糯米	70	nouns	plants	五、植物	名 詞	polished glutinous rice	-
140	140	麦子	71	nouns	plants	五、植物	名 詞	wheat	-
141	141	面粉	71	nouns	plants	五、植物	名 詞	flour	-
142	142	谷子	72	nouns	plants	五、植物	名 詞	millet // unhusked rice	-
143	143	小米	72	nouns	plants	五、植物	名 詞	millet	-
144	144	麸子	73	nouns	plants	五、植物	名 詞	bran	-
145	145	糠	73	nouns	plants	五、植物	名 詞	chaff // bran // husks	-
146	146	高粱	74	nouns	plants	五、植物	名 詞	sorghum	-
147	147	玉米	74	nouns	plants	五、植物	名 詞	maize	-
148	148	花生	75	nouns	plants	五、植物	名 詞	peanut	-
149	149	向日葵	75	nouns	plants	五、植物	名 詞	sunflower	-
150	150	甘薯	76	nouns	plants	五、植物	名 詞	sweet potato	-
151	151	马铃薯	76	nouns	plants	五、植物	名 詞	potato	-
152	152	蔬菜	77	nouns	plants	五、植物	名 詞	vegetable	-
153	153	卷心菜	77	nouns	plants	五、植物	名 詞	cabbage	-
154	154	南瓜	78	nouns	plants	五、植物	名 詞	pumpkin	-
155	155	冬瓜	78	nouns	plants	五、植物	名 詞	wax gourd //white gourd	-
156	156	黃瓜	79	nouns	plants	五、植物	名 詞	cucumber	-
157	157	萝卜	79	nouns	plants	五、植物	名 詞	radish	-
158	158	茄子	80	nouns	plants	五、植物	名 詞	eggplant	-
159	159	番茄	80	nouns	plants	五、植物	名 詞	tomato	-
160	160	韭菜	81	nouns	plants	五、植物	名 詞	tuber onion	-
161	161	葱	81	nouns	plants	五、植物	名 詞	scallions // green onions	-
162	162	蒜	82	nouns	plants	五、植物	名 詞	garlic	-
163	163	辣椒	82	nouns	plants	五、植物	名 詞	chilli // red pepper	-
164	164	水果	83	nouns	plants	五、植物	名 詞	fruit	-
165	165	桃儿	83	nouns	plants	五、植物	名 詞	peach	-
166	166	梨	84	nouns	plants	五、植物	名 詞	pear	-
167	167	桔子	84	nouns	plants	五、植物	名 詞	mandarine	-
168	168	柚子	85	nouns	plants	五、植物	名 詞	pomelo	-
169	169	梅子	85	nouns	plants	五、植物	名 詞	mume	-
170	170	葡萄	86	nouns	plants	五、植物	名 詞	grape	-
171	171	樱桃	86	nouns	plants	五、植物	名 詞	cherry	-
172	172	橄榄	87	nouns	plants	五、植物	名 詞	olive	-
173	173	荸薺	87	nouns	plants	五、植物	名 詞	water chestnut	-
174	174	枣儿	88	nouns	plants	五、植物	名 詞	jujube	-
175	175	栗子	88	nouns	plants	五、植物	名 詞	chestnut	-
176	176	核桃	89	nouns	plants	五、植物	名 詞	walnut	-
177	177	香蕉	89	nouns	plants	五、植物	名 詞	banana	-
178	178	荔枝	90	nouns	plants	五、植物	名 詞	litchi // lychee	-
179	179	桂圓	90	nouns	plants	五、植物	名 詞	longan	-
180	180	西瓜	91	nouns	plants	五、植物	名 詞	watermelon	-
181	181	核儿	91	nouns	plants	五、植物	名 詞	kernel // pip // stone (of fruit)	-
182	182	果皮	92	nouns	plants	五、植物	名 詞	peel // skin of fruit	-
183	183	早飯	92	nouns	food	六、飮食	名 詞	breakfast	-
184	184	午飯	93	nouns	food	六、飮食	名 詞	lunch	-
185	185	晚飯	93	nouns	food	六、飮食	名 詞	supper	-
186	186	米飯	94	nouns	food	六、飮食	名 詞	cooked rice	-
187	187	粥	94	nouns	food	六、飮食	名 詞	rice gruel // congee	-
188	188	米湯	95	nouns	food	六、飮食	名 詞	thin rice or millet gruel	-
189	189	饅头	95	nouns	food	六、飮食	名 詞	steamed bun	-
190	190	包子	96	nouns	food	六、飮食	名 詞	steamed stuffed bun	-
191	191	餃子	96	nouns	food	六、飮食	名 詞	dumpling (jiaozi)	-
192	192	餛飩	97	nouns	food	六、飮食	名 詞	dumpling (won ton)	-
193	193	面条儿	97	nouns	food	六、飮食	名 詞	noodles	-
194	194	糕	98	nouns	food	六、飮食	名 詞	cakes // pastry	-
195	195	餡儿	98	nouns	food	六、飮食	名 詞	stuffing (in food)	-
196	196	菜(菜肴）	99	nouns	food	六、飮食	名 詞	dish (food)	-
197	197	荤菜	99	nouns	food	六、飮食	名 詞	meat dishes	-
198	198	素菜	100	nouns	food	六、飮食	名 詞	vegetable dishes	-
199	199	湯	100	nouns	food	六、飮食	名 詞	soup	-
200	200	猪肉	101	nouns	food	六、飮食	名 詞	pork	-
201	201	猪肝	101	nouns	food	六、飮食	名 詞	pork liver	-
202	202	猪舌头	102	nouns	food	六、飮食	名 詞	pork tongue	-
203	203	鸡蛋	102	nouns	food	六、飮食	名 詞	egg	-
204	204	腐乳	103	nouns	food	六、飮食	名 詞	fermented bean curd	-
205	205	粉条儿	103	nouns	food	六、飮食	名 詞	-	???
206	206	作料	104	nouns	food	六、飮食	名 詞	condiments // seasoning	-
207	207	猪油	104	nouns	food	六、飮食	名 詞	pork fat	-
208	208	酱油	105	nouns	food	六、飮食	名 詞	soy sauce	-
209	209	醋	105	nouns	food	六、飮食	名 詞	vinegar	-
210	210	糖	106	nouns	food	六、飮食	名 詞	sugar //  sweets	-
211	211	蜂蜜	106	nouns	food	六、飮食	名 詞	honey	-
212	212	酒	107	nouns	food	六、飮食	名 詞	alcoholic beverage	-
213	213	茶	107	nouns	food	六、飮食	名 詞	tea	-
214	214	冰淇淋	108	nouns	food	六、飮食	名 詞	ice cream	-
215	215	冰棍儿	108	nouns	food	六、飮食	名 詞	popsicle	-
216	216	开水	109	nouns	food	六、飮食	名 詞	boiled water	-
217	217	紙烟	109	nouns	food	六、飮食	名 詞	cigarette	-
218	218	衣服	110	nouns	clothing	七、服飾	名 詞	clothes	-
219	219	上衣	110	nouns	clothing	七、服飾	名 詞	jacket	-
220	220	衬衫	111	nouns	clothing	七、服飾	名 詞	shirt	-
221	221	汗衫	111	nouns	clothing	七、服飾	名 詞	undershirt	-
222	222	夹祅	112	nouns	clothing	七、服飾	名 詞	-	???
223	223	毛衣	112	nouns	clothing	七、服飾	名 詞	woolen sweater	-
224	224	大衣	113	nouns	clothing	七、服飾	名 詞	coat	-
225	225	裤子	113	nouns	clothing	七、服飾	名 詞	trousers	-
226	226	群子	114	nouns	clothing	七、服飾	名 詞	skirt	-
227	227	短褲	114	nouns	clothing	七、服飾	名 詞	shorts	-
228	228	帽子	115	nouns	clothing	七、服飾	名 詞	hat	-
229	229	鞋	115	nouns	clothing	七、服飾	名 詞	shoes // footwear	-
230	230	拖鞋	116	nouns	clothing	七、服飾	名 詞	slippers	-
231	231	木拖鞋	116	nouns	clothing	七、服飾	名 詞	wooden slippers	-
232	232	靴子	117	nouns	clothing	七、服飾	名 詞	boots	-
233	233	围巾	117	nouns	clothing	七、服飾	名 詞	shawl	-
234	234	手套	118	nouns	clothing	七、服飾	名 詞	glove	-
235	235	袜子	118	nouns	clothing	七、服飾	名 詞	socks	-
236	236	毛巾	119	nouns	clothing	七、服飾	名 詞	towel // washcloth	-
237	237	手帕	119	nouns	clothing	七、服飾	名 詞	handkerchief	-
238	238	围嘴儿	120	nouns	clothing	七、服飾	名 詞	bib	-
239	239	領子	120	nouns	clothing	七、服飾	名 詞	collar	-
240	240	袖子	121	nouns	clothing	七、服飾	名 詞	sleeve	-
241	241	里子	121	nouns	clothing	七、服飾	名 詞	lining;entrails;inside of clothes	???
242	242	房子	122	nouns	living, dwelling	八、房屋	名 詞	Building // house	-
243	243	屋子	122	nouns	living, dwelling	八、房屋	名 詞	room	-
244	244	正房	123	nouns	living, dwelling	八、房屋	名 詞	principal rooms (in a courtyard) // middle room in the whole house	-
245	245	厢房	123	nouns	living, dwelling	八、房屋	名 詞	wing-room	-
246	246	厨房	124	nouns	living, dwelling	八、房屋	名 詞	kitchen	-
247	247	厠所	124	nouns	living, dwelling	八、房屋	名 詞	toilet	-
248	248	柱子	125	nouns	living, dwelling	八、房屋	名 詞	column // pillar	-
249	249	房梁	125	nouns	living, dwelling	八、房屋	名 詞	-	???
250	250	墙	126	nouns	living, dwelling	八、房屋	名 詞	wall	-
251	251	窗子	126	nouns	living, dwelling	八、房屋	名 詞	window	-
252	252	鬥檻儿	127	nouns	living, dwelling	八、房屋	名 詞	-	???
253	253	晒台	127	nouns	living, dwelling	八、房屋	名 詞	flat roof	-
254	254	栏杆	128	nouns	living, dwelling	八、房屋	名 詞	balustrade	-
255	255	台阶	128	nouns	living, dwelling	八、房屋	名 詞	steps (of stairs)	-
256	256	楼梯	129	nouns	living, dwelling	八、房屋	名 詞	stairs	-
257	257	院子	129	nouns	living, dwelling	八、房屋	名 詞	courtyard	-
258	258	天井	130	nouns	living, dwelling	八、房屋	名 詞	courtyard	-
259	259	井	130	nouns	living, dwelling	八、房屋	名 詞	well	-
260	260	家俱	131	nouns	tools of daily use	九、器具、日常用具	名 詞	furniture	-
261	261	桌子	131	nouns	tools of daily use	九、器具、日常用具	名 詞	table	-
262	262	椅子	132	nouns	tools of daily use	九、器具、日常用具	名 詞	chair	-
263	263	凳子	132	nouns	tools of daily use	九、器具、日常用具	名 詞	stool	-
264	264	书桌	133	nouns	tools of daily use	九、器具、日常用具	名 詞	desk	-
265	265	柜子	133	nouns	tools of daily use	九、器具、日常用具	名 詞	cupboard	-
266	266	抽屜	134	nouns	tools of daily use	九、器具、日常用具	名 詞	drawer	-
267	267	盒子	134	nouns	tools of daily use	九、器具、日常用具	名 詞	box	-
268	268	箱子	135	nouns	tools of daily use	九、器具、日常用具	名 詞	case // box	-
269	269	皮箱	135	nouns	tools of daily use	九、器具、日常用具	名 詞	leather case	-
270	270	床	136	nouns	tools of daily use	九、器具、日常用具	名 詞	bed	-
271	271	被子	136	nouns	tools of daily use	九、器具、日常用具	名 詞	quilt	-
272	272	褥子	137	nouns	tools of daily use	九、器具、日常用具	名 詞	puff	-
273	273	毯子	137	nouns	tools of daily use	九、器具、日常用具	名 詞	carpet	-
274	274	枕头	138	nouns	tools of daily use	九、器具、日常用具	名 詞	pillow	-
275	275	席子	138	nouns	tools of daily use	九、器具、日常用具	名 詞	mat	-
276	276	帐子	139	nouns	tools of daily use	九、器具、日常用具	名 詞	bed-curtain	-
277	277	鍋	139	nouns	tools of daily use	九、器具、日常用具	名 詞	cooking-pot	-
278	278	鍋鏟	140	nouns	tools of daily use	九、器具、日常用具	名 詞	-	???
279	279	菜刀	140	nouns	tools of daily use	九、器具、日常用具	名 詞	kitchen knife	-
280	280	筷子	141	nouns	tools of daily use	九、器具、日常用具	名 詞	chopsticks	-
281	281	调羹	141	nouns	tools of daily use	九、器具、日常用具	名 詞	spoon	-
282	282	缸	142	nouns	tools of daily use	九、器具、日常用具	名 詞	earthen jug	-
283	283	水瓢	142	nouns	tools of daily use	九、器具、日常用具	名 詞	-	???
284	284	坛子	143	nouns	tools of daily use	九、器具、日常用具	名 詞	earthern jug	-
285	285	罐子	143	nouns	tools of daily use	九、器具、日常用具	名 詞	pot // jug	-
286	286	瓶子	144	nouns	tools of daily use	九、器具、日常用具	名 詞	bottle	-
287	287	木柴	144	nouns	tools of daily use	九、器具、日常用具	名 詞	firewood	-
288	288	木炭	145	nouns	tools of daily use	九、器具、日常用具	名 詞	wood charcoal	-
289	289	火炉	145	nouns	tools of daily use	九、器具、日常用具	名 詞	stove	-
290	290	热水瓶	146	nouns	tools of daily use	九、器具、日常用具	名 詞	thermos bottle	-
291	291	浆糊	146	nouns	tools of daily use	九、器具、日常用具	名 詞	glue	-
292	292	針	147	nouns	tools of daily use	九、器具、日常用具	名 詞	needle	-
293	293	頂針儿	147	nouns	tools of daily use	九、器具、日常用具	名 詞	-	???
294	294	綫	148	nouns	tools of daily use	九、器具、日常用具	名 詞	thread // wire	-
295	295	绳子	148	nouns	tools of daily use	九、器具、日常用具	名 詞	rope	-
296	296	鎖	149	nouns	tools of daily use	九、器具、日常用具	名 詞	lock	-
297	297	钥匙	149	nouns	tools of daily use	九、器具、日常用具	名 詞	key	-
298	298	扇子	150	nouns	tools of daily use	九、器具、日常用具	名 詞	fan	-
299	299	伞	150	nouns	tools of daily use	九、器具、日常用具	名 詞	umbrella	-
300	300	拐杖	151	nouns	tools of daily use	九、器具、日常用具	名 詞	walking staff	-
301	301	电筒	151	nouns	tools of daily use	九、器具、日常用具	名 詞	flashlight	-
302	302	蜡烛	152	nouns	tools of daily use	九、器具、日常用具	名 詞	candle	-
303	303	火柴	152	nouns	tools of daily use	九、器具、日常用具	名 詞	match	-
304	304	肥皂	153	nouns	tools of daily use	九、器具、日常用具	名 詞	soap	-
305	305	牙刷	153	nouns	tools of daily use	九、器具、日常用具	名 詞	toothbrush	-
306	306	抹布	154	nouns	tools of daily use	九、器具、日常用具	名 詞	dish towel	-
307	307	扫帚	154	nouns	tools of daily use	九、器具、日常用具	名 詞	broom	-
308	308	撣子	155	nouns	tools of daily use	九、器具、日常用具	名 詞	whisk;duster	-
309	309	簸箕	155	nouns	tools of daily use	九、器具、日常用具	名 詞	dustpan	-
310	310	痰盂	156	nouns	tools of daily use	九、器具、日常用具	名 詞	spittoon	-
311	311	算盘	156	nouns	instruments, material	十、工具、材料	名 詞	abacus	-
312	312	秤	157	nouns	instruments, material	十、工具、材料	名 詞	scale	-
313	313	戥子	157	nouns	instruments, material	十、工具、材料	名 詞	-	???
314	314	尺	158	nouns	instruments, material	十、工具、材料	名 詞	foot (measure)	-
315	315	剪子	158	nouns	instruments, material	十、工具、材料	名 詞	scissors	-
316	316	锤子	159	nouns	instruments, material	十、工具、材料	名 詞	hammer	-
317	317	斧头	159	nouns	instruments, material	十、工具、材料	名 詞	axe	-
318	318	钳子	160	nouns	instruments, material	十、工具、材料	名 詞	pincers	-
319	319	镊子	160	nouns	instruments, material	十、工具、材料	名 詞	tweezers	-
320	320	凿子	161	nouns	instruments, material	十、工具、材料	名 詞	chisel	-
321	321	鋸子	161	nouns	instruments, material	十、工具、材料	名 詞	saw (tool)	-
322	322	銼刀	162	nouns	instruments, material	十、工具、材料	名 詞	file (tool)	-
323	323	钻子	162	nouns	instruments, material	十、工具、材料	名 詞	drill (tool)	-
324	324	錐子	163	nouns	instruments, material	十、工具、材料	名 詞	awl	-
325	325	鉋子	163	nouns	instruments, material	十、工具、材料	名 詞	-	???
326	326	小刀儿	164	nouns	instruments, material	十、工具、材料	名 詞	small knife	-
327	327	钩子	164	nouns	instruments, material	十、工具、材料	名 詞	hook	-
328	328	釘子	165	nouns	instruments, material	十、工具、材料	名 詞	nail (tool)	-
329	329	梯子	165	nouns	instruments, material	十、工具、材料	名 詞	stairs // ladder	-
330	330	鋤头	166	nouns	instruments, material	十、工具、材料	名 詞	hoe (tool)	锄头
331	331	鐮刀	166	nouns	instruments, material	十、工具、材料	名 詞	sickle (tool)	-
332	332	扁担	167	nouns	instruments, material	十、工具、材料	名 詞	shoulder-pole	-
333	333	篩子	167	nouns	instruments, material	十、工具、材料	名 詞	sieve (tool)	-
334	334	輪子	168	nouns	instruments, material	十、工具、材料	名 詞	wheel	-
335	335	木头	168	nouns	instruments, material	十、工具、材料	名 詞	wood	-
336	336	竹子	169	nouns	instruments, material	十、工具、材料	名 詞	bamboo	-
337	337	石灰	169	nouns	instruments, material	十、工具、材料	名 詞	limestone	-
338	338	水泥	170	nouns	instruments, material	十、工具、材料	名 詞	cement	-
339	339	橡胶	170	nouns	instruments, material	十、工具、材料	名 詞	rubber	-
340	340	漆	171	nouns	instruments, material	十、工具、材料	名 詞	varnish // paint	-
341	341	玻璃	171	nouns	instruments, material	十、工具、材料	名 詞	glass	-
342	342	錢	172	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	money	-
343	343	商店	172	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	store	-
344	344	飯館	173	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	restaurant	-
345	345	邮局	173	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	post office	-
346	346	邮票	174	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	postage stamp	-
347	347	車站	174	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	stop // station	-
348	348	碼头	175	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	pier // quay	-
349	349	汽車	175	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	automobile	-
350	350	自行車	176	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	bicycle	-
351	351	人力車	176	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	rickshaw	-
352	352	輪船	177	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	steamship	-
353	353	汽船	177	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	steamship	-
354	354	小船儿	178	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	boat (small ship)	-
355	355	街道	178	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	street	-
356	356	人行道	179	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	sidewalk (pavement)	-
357	357	巷	179	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	alley // lane	-
358	358	桥	180	nouns	business, communication, traffic	十一、商业、邮电、交通	名 詞	bridge	-
359	359	学校	180	nouns	culture, music	十二、文化、娛乐	名 詞	school (educational institution)	-
